pdz_pep               BI(pos)    BI paper 
HPV16_E6-MAGI1_2_C     0.8908     0 
HPV18_E6-MAGI1_2_C     0.8857     0 
NONE-MAGI1_2_C     0.0654     0 
Biotin-MAGI1_2_C     ref     0 
HPV16_E6-MAGI1_3_C     0.1075     0 
HPV18_E6-MAGI1_3_C     0.3949     0 
NONE-MAGI1_3_C     0.0631     0 
Biotin-MAGI1_3_C     ref     0 
HPV16_E6-SCRIB_1_C     0.6948     0 
HPV18_E6-SCRIB_1_C     0.0949     0 
NONE-SCRIB_1_C     -0.1576     0 
Biotin-SCRIB_1_C     ref     0 
