VERSION=1.1
ExportFileName=VIPS_33_1_1_Data_E21
SampleLabel=E21
SampleName=AHNAK_A_HPV16_E6
SampleComment=
SampleAreaConcRatio=0,002812
SampleLowerMarkerTime=12,00
SampleUpperMarkerTime=-1,00
SamplePeakTimes=12,00,12,23,14,42,14,65,14,82,15,23,15,45,15,82,16,15,16,40,16,60,16,75,17,12,17,38,17,65,18,02,18,23,18,52,19,10,19,37,19,73,19,93,20,20,20,85,21,68,22,62,23,12
SamplePeakSizes=1,405,1,719,7,449,8,423,9,167,11,210,12,377,14,521,16,657,18,377,19,826,20,956,23,875,26,136,28,515,31,976,34,124,37,047,43,469,46,582,51,040,53,557,57,005,65,839,78,012,92,698,100,989
SamplePeakQuantities=,,,,,3,3185,1,7650,98,9994,2,0875,5,9521,5,8885,9,5520,13,2687,6,5970,13,0667,12,5365,6,2673,20,1780,32,8644,31,6446,11,3742,10,0465,91,4111,14,3317,70,8008,7,6208,17,5685
PlateFileName=VIPS_33_1_1_1
PlateAssayName=HT Protein Express 100 High Sensitivity
PlateBarCode=
WellAquisitionTime=2012\09\28 11:00:52
PlateDataFrequency=60
PlateDataStartTime=11,00
PlateDataEndTime=36,00
PlateConcUnits=ng/ul
PlateSizeUnits=kDa
PlateLadderSizes=1,40,15,90,20,40,28,90,48,40,68,40,119,20,
ChipID=G640P-0563N-04
Operator=RV
DATA
Time,Value,Size
0,000,30,710,0,00
0,017,30,676,0,00
0,033,30,668,0,00
0,050,30,592,0,00
0,067,30,565,0,00
0,083,30,534,0,00
0,100,30,477,0,00
0,117,30,408,0,00
0,133,30,369,0,00
0,150,30,276,0,00
0,167,30,139,0,00
0,183,30,316,0,00
0,200,31,064,0,00
0,217,32,431,0,00
0,233,34,138,0,00
0,250,35,490,0,00
0,267,35,821,0,00
0,283,34,854,0,00
0,300,32,876,0,00
0,317,30,310,0,00
0,333,27,571,0,00
0,350,25,016,0,00
0,367,22,650,0,00
0,383,20,576,0,00
0,400,18,642,0,00
0,417,17,000,0,00
0,433,15,503,0,00
0,450,14,107,0,00
0,467,12,815,0,00
0,483,11,650,0,00
0,500,10,578,0,00
0,517,9,650,0,00
0,533,8,828,0,00
0,550,8,078,0,00
0,567,7,363,0,00
0,583,6,711,0,00
0,600,6,058,0,00
0,617,5,479,0,00
0,633,4,915,0,00
0,650,4,409,0,00
0,667,3,943,0,00
0,683,3,509,0,00
0,700,3,089,0,00
0,717,2,706,0,00
0,733,2,363,0,00
0,750,2,059,0,00
0,767,1,791,0,00
0,783,1,534,0,00
0,800,1,256,0,00
0,817,0,961,0,00
0,833,0,663,0,00
0,850,0,378,0,00
0,867,0,103,0,00
0,883,-0,130,0,00
0,900,-0,395,0,00
0,917,-0,659,0,00
0,933,-0,844,0,00
0,950,-1,007,0,00
0,967,-1,148,0,00
0,983,-1,345,0,00
1,000,-1,587,0,00
1,017,-1,800,0,00
1,033,-1,948,0,00
1,050,-2,042,0,00
1,067,-2,167,0,00
1,083,-2,345,0,00
1,100,-2,526,0,00
1,117,-2,708,0,00
1,133,-2,872,0,00
1,150,-3,015,0,00
1,167,-3,111,0,00
1,183,-3,160,0,00
1,200,-3,185,0,00
1,217,-3,227,0,00
1,233,-3,353,0,00
1,250,-3,561,0,00
1,267,-3,807,0,00
1,283,-4,030,0,00
1,300,-4,172,0,00
1,317,-4,238,0,00
1,333,-4,299,0,00
1,350,-4,383,0,00
1,367,-4,430,0,00
1,383,-4,423,0,00
1,400,-4,431,0,00
1,417,-4,496,0,00
1,433,-4,616,0,00
1,450,-4,741,0,00
1,467,-4,838,0,00
1,483,-4,868,0,00
1,500,-4,908,0,00
1,517,-5,014,0,00
1,533,-5,129,0,00
1,550,-5,228,0,00
1,567,-5,284,0,00
1,583,-5,297,0,00
1,600,-5,311,0,00
1,617,-5,343,0,00
1,633,-5,408,0,00
1,650,-5,489,0,00
1,667,-5,568,0,00
1,683,-5,675,0,00
1,700,-5,779,0,00
1,717,-5,876,0,00
1,733,-5,924,0,00
1,750,-5,979,0,00
1,767,-6,049,0,00
1,783,-6,136,0,00
1,800,-6,173,0,00
1,817,-6,231,0,00
1,833,-6,233,0,00
1,850,-6,257,0,00
1,867,-6,308,0,00
1,883,-6,350,0,00
1,900,-6,418,0,00
1,917,-6,534,0,00
1,933,-6,638,0,00
1,950,-6,763,0,00
1,967,-6,852,0,00
1,983,-6,917,0,00
2,000,-6,915,0,00
2,017,-6,923,0,00
2,033,-6,941,0,00
2,050,-6,972,0,00
2,067,-7,061,0,00
2,083,-7,178,0,00
2,100,-7,237,0,00
2,117,-7,256,0,00
2,133,-7,230,0,00
2,150,-7,263,0,00
2,167,-7,328,0,00
2,183,-7,458,0,00
2,200,-7,561,0,00
2,217,-7,603,0,00
2,233,-7,610,0,00
2,250,-7,620,0,00
2,267,-7,653,0,00
2,283,-7,722,0,00
2,300,-7,782,0,00
2,317,-7,846,0,00
2,333,-7,895,0,00
2,350,-7,927,0,00
2,367,-7,946,0,00
2,383,-7,967,0,00
2,400,-8,032,0,00
2,417,-8,099,0,00
2,433,-8,171,0,00
2,450,-8,224,0,00
2,467,-8,250,0,00
2,483,-8,280,0,00
2,500,-8,317,0,00
2,517,-8,372,0,00
2,533,-8,452,0,00
2,550,-8,501,0,00
2,567,-8,513,0,00
2,583,-8,523,0,00
2,600,-8,559,0,00
2,617,-8,660,0,00
2,633,-8,779,0,00
2,650,-8,853,0,00
2,667,-8,869,0,00
2,683,-8,864,0,00
2,700,-8,881,0,00
2,717,-8,939,0,00
2,733,-8,996,0,00
